location_id,sublocation_id,date,hourly_drybulb_temp,hourly_dew_point_temp,hourly_rel_humidity,hourly_wind_speed,hourly_wind_direction,hourly_precip
PRI,PR,1/1/2017 0:50,23,21,89,8,110,
PRI,PR,1/1/2017 6:50,23,21,89,7,100,
PRI,PR,1/1/2017 7:50,24,21,83,10,100,
PRI,PR,1/1/2017 8:50,25,21,79,13,100,
PRI,PR,1/1/2017 9:50,27,21,70,13,110,
PRI,PR,1/1/2017 10:50,26,21,74,16,90,
PRI,PR,1/1/2017 11:50,28,21,66,16,90,
PRI,PR,1/1/2017 12:50,28,21,66,18,90,
PRI,PR,1/1/2017 13:50,28,21,66,17,90,
PRI,PR,1/1/2017 14:50,27,22,74,15,100,
PRI,PR,1/1/2017 15:50,27,22,74,15,100,
PRI,PR,1/1/2017 16:50,27,20,66,17,90,
PRI,PR,1/1/2017 17:50,26,19,65,14,100,
PRI,PR,1/1/2017 18:50,25,20,74,14,90,
PRI,PR,1/1/2017 19:50,24,20,78,10,110,
PRI,PR,1/1/2017 20:50,24,20,78,10,100,
PRI,PR,1/2/2017 6:50,22,20,88,8,100,
PRI,PR,1/2/2017 7:50,23,21,89,10,90,
PRI,PR,1/2/2017 8:50,25,21,79,11,100,
PRI,PR,1/2/2017 9:50,26,22,79,14,100,
PRI,PR,1/2/2017 10:50,27,21,70,14,100,
PRI,PR,1/2/2017 11:50,27,22,74,17,100,
PRI,PR,1/2/2017 12:50,28,21,66,21,80,
PRI,PR,1/2/2017 13:50,28,21,66,17,90,
PRI,PR,1/2/2017 14:50,28,21,66,20,90,
PRI,PR,1/2/2017 15:50,27,20,66,15,90,
PRI,PR,1/2/2017 16:50,26,20,70,15,90,
PRI,PR,1/2/2017 17:50,24,20,78,14,80,
PRI,PR,1/2/2017 18:50,24,21,83,11,80,
PRI,PR,1/2/2017 19:50,24,21,83,14,80,
PRI,PR,1/2/2017 20:50,25,21,79,16,90,
PRI,PR,1/2/2017 21:30,25,21,79,18,80,
